Case Number,Date Reported,Time Reported,Month Reported,Day of Week,Call for Service Nature,Address of Occurrence,Reporting District,Agency,Report/No Report
B16-14534,4/17/16,1:45 AM,April,Sunday,VANDALISM IP,407 S HIGHLAND AVE; HSE TO LEFT OF ADDRESS,LB303,BPD,NO REPORT NEEDED
B16-14616,4/17/16,1:19 PM,April,Sunday,VANDALISM NP,1315 N LINCOLN ST,LB212,BPD,REPORT NEEDED
B16-14589,4/17/16,10:28 AM,April,Sunday,VANDALISM NP,3211 E MOORES PIKE; REDBUD HILLS RETIREMENT CENTER; APT 215,LB310,BPD,NO REPORT NEEDED
B16-14580,4/17/16,6:25 AM,April,Sunday,VANDALISM NP,608 W KIRKWOOD AVE,LB520,BPD,REPORT NEEDED
B16-14611,4/17/16,12:49 PM,April,Sunday,VANDALISM NP,703 N WALNUT ST; APT 5,LB519,BPD,REPORT NEEDED
B16-14751,4/18/16,2:28 PM,April,Monday,DISTURBANCE IP,101 W 2ND ST; SEMINARY PARK,LB410,BPD,NO REPORT NEEDED
B16-14806,4/18/16,8:43 PM,April,Monday,DISTURBANCE IP,1310 W 11TH ST,LB517,BPD,NO REPORT NEEDED
B16-14779,4/18/16,5:28 PM,April,Monday,DISTURBANCE IP,155 E BURKS DR; GOLDEN LIVING CENTER,LB336,BPD,NO REPORT NEEDED
B16-14685,4/18/16,2:24 AM,April,Monday,DISTURBANCE IP,528 S COLLEGE AVE; KROGER SEMINARY SQUARE,LB410,BPD,REPORT NEEDED
B16-14805,4/18/16,8:33 PM,April,Monday,DISTURBANCE IP,900 N SUMMIT ST,LB517,BPD,NO REPORT NEEDED
B16-14755,4/18/16,2:46 PM,April,Monday,DISTURBANCE IP,N WALNUT ST & E 17TH ST,LB519,BPD,NO REPORT NEEDED
B16-14725,4/18/16,11:43 AM,April,Monday,DRUNK,100 W 3RD ST,LB103,BPD,NO REPORT NEEDED
B16-14783,4/18/16,6:08 PM,April,Monday,DRUNK,301 S WALNUT ST; BLOOMINGTON TRANSIT,LB104,BPD,NO REPORT NEEDED
B16-14803,4/18/16,7:19 PM,April,Monday,NOISE,2226 S ROGERS ST; DOROTHY APTS,LB423,BPD,NO REPORT NEEDED
B16-14693,4/18/16,5:55 AM,April,Monday,NOISE,3100 S WALNUT STREET PIKE; B (2ND FLOOR),LB336,BPD,NO REPORT NEEDED
B16-14821,4/18/16,10:41 PM,April,Monday,NOISE,S OLIVE ST & E THORNTON DR,LB316,BPD,NO REPORT NEEDED
B16-14759,4/18/16,2:45 PM,April,Monday,VANDALISM NP,421 S COLLEGE AVE; PLANNED PARENTHOOD,LB103,BPD,REPORT NEEDED
B16-14949,4/19/16,8:36 PM,April,Tuesday,DISTURBANCE IP,1281 W ALLEN ST,LB413,BPD,NO REPORT NEEDED
B16-14940,4/19/16,7:17 PM,April,Tuesday,DISTURBANCE IP,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT NEEDED
B16-14837,4/19/16,1:42 AM,April,Tuesday,DISTURBANCE IP,411 E SOUTHERN DR; SOUTHERN VALLEY APARTMENTS; apt 7,LB315,BPD,NO REPORT NEEDED
B16-14831,4/19/16,12:39 AM,April,Tuesday,DISTURBANCE IP,416 S LINCOLN ST,LB104,BPD,REPORT NEEDED
B16-14944,4/19/16,7:59 PM,April,Tuesday,DISTURBANCE IP,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,REPORT NEEDED
B16-14961,4/19/16,10:33 PM,April,Tuesday,DISTURBANCE IP,SEMINARY SQUARE PLAZA; W of Kroger N of 1st on B-Line Trail,LB410,BPD,NO REPORT NEEDED
B16-14828,4/19/16,12:02 AM,April,Tuesday,DRUNK,3021 E 3RD ST; SPEEDWAY EAST,LB221,BPD,NO REPORT NEEDED
B16-14868,4/19/16,11:06 AM,April,Tuesday,DRUNK,620 S WALNUT ST; SHALOM CENTER,LB410,BPD,NO REPORT NEEDED
B16-14840,4/19/16,3:01 AM,April,Tuesday,NOISE,111 S GRANT ST; TRINITY EPISCOPAL,LB104,BPD,NO REPORT NEEDED
B16-14968,4/19/16,11:32 PM,April,Tuesday,NOISE,545 S PATTERSON DR; apt 1104,LB406,BPD,NO REPORT NEEDED
B16-14873,4/19/16,11:02 AM,April,Tuesday,VANDALISM NP,213 S BRYAN AVE,LB222,BPD,REPORT NEEDED
B16-14894,4/19/16,2:40 PM,April,Tuesday,VANDALISM NP,2500 S ROCKPORT RD; APT 2606,LB424,BPD,REPORT NEEDED
B16-15059,4/20/16,6:18 PM,April,Wednesday,DISTURBANCE IP,101 W 2ND ST; SEMINARY PARK,LB410,BPD,NO REPORT NEEDED
B16-15060,4/20/16,5:46 PM,April,Wednesday,DISTURBANCE IP,1012 N LINDBERGH DR,LB517,BPD,NO REPORT NEEDED
B16-15083,4/20/16,8:49 PM,April,Wednesday,DISTURBANCE IP,1314 N DUNN ST; CEDARWOOD APARTMENTS,LB214,BPD,NO REPORT NEEDED
B16-15073,4/20/16,7:46 PM,April,Wednesday,DISTURBANCE IP,1890 S WALNUT ST,LB421,BPD,NO REPORT NEEDED
B16-14997,4/20/16,10:28 AM,April,Wednesday,DISTURBANCE IP,231 E STATE ROAD 45 46 BYPASS,LB209,BPD,REPORT NEEDED
B16-15071,4/20/16,7:33 PM,April,Wednesday,DISTURBANCE IP,3093 E AMY LN,LB221,BPD,REPORT NEEDED
B16-14987,4/20/16,7:15 AM,April,Wednesday,DISTURBANCE IP,339 S GRANT ST; APT 4,LB104,BPD,NO REPORT NEEDED
B16-15001,4/20/16,11:16 AM,April,Wednesday,DISTURBANCE IP,700 S WALNUT ST,LB410,BPD,NO REPORT NEEDED
B16-15027,4/20/16,2:34 PM,April,Wednesday,DISTURBANCE NP,315 S COLLEGE MALL RD; FAZOLIS   220 E 3RD ST,LB305,BPD,NO REPORT NEEDED
B16-15043,4/20/16,4:35 PM,April,Wednesday,DISTURBANCE NP,3200 E LONGVIEW AVE; APT 34,LB221,BPD,REPORT NEEDED
B16-14978,4/20/16,4:05 AM,April,Wednesday,DRUNK,209 S COLLEGE AVE,LB103,BPD,NO REPORT NEEDED
B16-15093,4/20/16,9:28 PM,April,Wednesday,DRUNK,314 W 2ND ST; APT 1-W,LB103,BPD,NO REPORT NEEDED
B16-14976,4/20/16,3:32 AM,April,Wednesday,DRUNK,315 W KIRKWOOD AVE;,LB103,BPD,NO REPORT NEEDED
B16-15089,4/20/16,9:31 PM,April,Wednesday,DRUNK,528 S COLLEGE AVE; KROGER SEMINARY SQUARE,LB410,BPD,NO REPORT NEEDED
B16-14973,4/20/16,1:58 AM,April,Wednesday,NOISE,1136 W 17TH ST; BLOOMINGTON BOARD OF REALTORS,LB513,BPD,NO REPORT NEEDED
B16-14971,4/20/16,12:50 AM,April,Wednesday,NOISE,502 E KIRKWOOD AVE; KILROYS KIRKWOOD,LB104,BPD,NO REPORT NEEDED
B16-15102,4/20/16,11:05 PM,April,Wednesday,NOISE,524 N COLLEGE AVE; TEN NORTH MANNER;APT 405,LB101,BPD,NO REPORT NEEDED
B16-15140,4/21/16,10:56 AM,April,Thursday,DISTURBANCE IP,343 E WINSLOW RD,LB326,BPD,NO REPORT NEEDED
B16-15191,4/21/16,6:05 PM,April,Thursday,DISTURBANCE IP,703 W GOURLEY PIKE; APT 93,LB513,BPD,REPORT NEEDED
B16-15142,4/21/16,10:58 AM,April,Thursday,DISTURBANCE NP,1305 W BLOOMFIELD RD; FARM BUREAU WHITE RIVER CO OP,LB406,BPD,NO REPORT NEEDED
B16-15208,4/21/16,9:38 PM,April,Thursday,DISTURBANCE NP,1812 N MONROE ST,LB513,BPD,NO REPORT NEEDED
B16-15114,4/21/16,3:25 AM,April,Thursday,DRUNK,207 S COLLEGE AVe; ATLAS BAR,LB103,BPD,NO REPORT NEEDED
B16-15199,4/21/16,7:09 PM,April,Thursday,DRUNK,240 N WASHINGTON ST,LB102,BPD,NO REPORT NEEDED
B16-15152,4/21/16,1:11 PM,April,Thursday,DRUNK,245 W GRIMES LN; B-LINE TRAIL SWITCHYARD TRAILHEAD,LB411,BPD,NO REPORT NEEDED
B16-15151,4/21/16,12:54 PM,April,Thursday,DRUNK,600 S PATTERSON DR,LB406,BPD,NO REPORT NEEDED
B16-15111,4/21/16,1:49 AM,April,Thursday,DRUNK,S WALNUT ST & E GRIMES LN,LB314,BPD,NO REPORT NEEDED
B16-15228,4/21/16,11:21 PM,April,Thursday,NOISE,103 E 16TH ST,LB213,BPD,NO REPORT NEEDED
B16-15223,4/21/16,10:39 PM,April,Thursday,NOISE,103 E 16TH ST,LB213,BPD,NO REPORT NEEDED
B16-15113,4/21/16,2:19 AM,April,Thursday,NOISE,3811 E MCCRACKEN WAY;APT 6,LB220,BPD,NO REPORT NEEDED
B16-15206,4/21/16,9:23 PM,April,Thursday,NOISE,619 S FESS AVE,LB302,BPD,NO REPORT NEEDED
B16-15192,4/21/16,6:12 PM,April,Thursday,VANDALISM IP,1410 W 15TH ST,LB517,BPD,NO REPORT NEEDED
B16-15204,4/21/16,8:41 PM,April,Thursday,VANDALISM NP,1820 W ARLINGTON RD; ARLINGTON UNITED METHODIST,LB514,BPD,REPORT NEEDED
B16-15133,4/21/16,9:45 AM,April,Thursday,VANDALISM NP,200 E KIRKWOOD AVE; PEOPLES STATE BANK DOWNTOWN,LB104,BPD,REPORT NEEDED
B16-15195,4/21/16,6:09 PM,April,Thursday,VANDALISM NP,3216 E 3RD ST; KMART EAST,LB305,BPD,NO REPORT NEEDED
B16-15314,4/22/16,4:30 PM,April,Friday,DISTURBANCE IP,1890 S WALNUT ST,LB421,BPD,NO REPORT NEEDED
B16-15245,4/22/16,3:31 AM,April,Friday,DISTURBANCE IP,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT NEEDED
B16-15292,4/22/16,3:16 PM,April,Friday,DISTURBANCE IP,343 E WINSLOW RD; WINSLOW LAUNDRY,LB326,BPD,NO REPORT NEEDED
B16-15326,4/22/16,5:19 PM,April,Friday,DISTURBANCE IP,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,REPORT NEEDED
B16-15240,4/22/16,2:24 AM,April,Friday,DISTURBANCE IP,540 S BASSWOOD DR; CANTERBURY APARTMENTS; U:,LB404,BPD,NO REPORT NEEDED
B16-15235,4/22/16,1:05 AM,April,Friday,DRUNK,105 W 4TH ST; 4TH STREET PARKING GARAGE,LB103,BPD,NO REPORT NEEDED
B16-15242,4/22/16,2:46 AM,April,Friday,DRUNK,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT NEEDED
B16-15243,4/22/16,2:57 AM,April,Friday,DRUNK,405 E 17TH ST; APT B15,LB212,BPD,NO REPORT NEEDED
B16-15230,4/22/16,12:02 AM,April,Friday,NOISE,219 E 7TH ST; APT 209,LB102,BPD,NO REPORT NEEDED
B16-15371,4/22/16,11:30 PM,April,Friday,NOISE,2307 E 2ND ST; BART VILLA APTS,LB304,BPD,NO REPORT NEEDED
B16-15233,4/22/16,12:28 AM,April,Friday,NOISE,395 E VARSITY LN,LB212,BPD,NO REPORT NEEDED
B16-15236,4/22/16,1:12 AM,April,Friday,NOISE,405 E 17TH ST; APT B14,LB212,BPD,NO REPORT NEEDED
B16-15342,4/22/16,8:05 PM,April,Friday,NOISE,502 E KIRKWOOD AVE; KILROYS KIRKWOOD,LB104,BPD,NO REPORT NEEDED
B16-15232,4/22/16,12:10 AM,April,Friday,NOISE,524 N COLLEGE AVE; APT 405,LB101,BPD,NO REPORT NEEDED
B16-15354,4/22/16,9:23 PM,April,Friday,NOISE,600 E 1ST ST,LB302,BPD,NO REPORT NEEDED
B16-15368,4/22/16,10:06 PM,April,Friday,NOISE,703 W GOURLEY PIKE; 81,LB513,BPD,NO REPORT NEEDED
B16-15369,4/22/16,11:16 PM,April,Friday,NOISE,W TAPP RD & S ADAMS ST,LB424,BPD,NO REPORT NEEDED
B16-15300,4/22/16,3:44 PM,April,Friday,PANHANDLING,102 E KIRKWOOD AVE; THE UPTOWN CAFE,LB104,BPD,NO REPORT NEEDED
B16-15351,4/22/16,9:45 PM,April,Friday,VANDALISM IP,1501 E ATWATER AVE,LB303,BPD,NO REPORT NEEDED
B16-15358,4/22/16,10:35 PM,April,Friday,VANDALISM NP,1421 E HILLSIDE DR,LB312,BPD,REPORT NEEDED
B16-15437,4/23/16,12:25 PM,April,Saturday,ALCOHOL RELATED,422 E KIRKWOOD AVE; WHICH WICH SUPERIOR SANDWICHES,LB104,BPD,NO REPORT NEEDED
B16-15421,4/23/16,10:41 AM,April,Saturday,DISTURBANCE IP,101 W KIRKWOOD AVE; FOUNTAIN SQUARE MALL; SUIT 104,LB103,BPD,NO REPORT NEEDED
B16-15518,4/23/16,10:59 PM,April,Saturday,DISTURBANCE IP,116 N WALNUT ST; apt 1/2,LB102,BPD,NO REPORT NEEDED
B16-15402,4/23/16,4:29 AM,April,Saturday,DISTURBANCE IP,300 S COLLEGE MALL RD; STEAK N SHAKE EAST,LB305,BPD,NO REPORT NEEDED
B16-15400,4/23/16,3:42 AM,April,Saturday,DISTURBANCE IP,320 S EASTSIDE DR,LB303,BPD,NO REPORT NEEDED
B16-15492,4/23/16,7:42 PM,April,Saturday,DISTURBANCE IP,3200 E LONGVIEW AVE; APT 59,LB221,BPD,NO REPORT NEEDED
B16-15522,4/23/16,11:19 PM,April,Saturday,DISTURBANCE IP,406 E 6TH ST,LB102,BPD,NO REPORT NEEDED
B16-15487,4/23/16,7:28 PM,April,Saturday,DRUNK,2038 N WALNUT ST; GREAT WALL CHINESE RESTAURANT,LB212,BPD,NO REPORT NEEDED
B16-15399,4/23/16,3:43 AM,April,Saturday,DRUNK,415 N WALNUT ST; PAPA JOHNS PIZZA NORTH,LB101,BPD,NO REPORT NEEDED
B16-15383,4/23/16,1:27 AM,April,Saturday,DRUNK,430 E KIRKWOOD AVE,LB104,BPD,NO REPORT NEEDED
B16-15435,4/23/16,12:17 PM,April,Saturday,DRUNK,611 W SLATE DR; APT A,LB513,BPD,NO REPORT NEEDED
B16-15390,4/23/16,2:33 AM,April,Saturday,DRUNK,703 W GOURLEY PIKE; APT 102,LB513,BPD,REPORT NEEDED
B16-15507,4/23/16,10:00 PM,April,Saturday,NOISE,102 E KIRKWOOD AVE; THE UPTOWN CAFE,LB104,BPD,NO REPORT NEEDED
B16-15393,4/23/16,2:28 AM,April,Saturday,NOISE,1104 S WASHINGTON ST,LB314,BPD,NO REPORT NEEDED
B16-15386,4/23/16,1:39 AM,April,Saturday,NOISE,1450 N WILLIS DR; APT 5,LB513,BPD,NO REPORT NEEDED
B16-15488,4/23/16,7:13 PM,April,Saturday,NOISE,211 E STATE ROAD 45 46 BYPASS,LB209,BPD,NO REPORT NEEDED
B16-15457,4/23/16,2:50 PM,April,Saturday,NOISE,315 W KIRKWOOD AVE,LB103,BPD,NO REPORT NEEDED
B16-15388,4/23/16,1:43 AM,April,Saturday,NOISE,500 S MULLER PKWY; VILLAGE AT MULLER PARK,LB404,BPD,NO REPORT NEEDED
B16-15474,4/23/16,5:24 PM,April,Saturday,NOISE,513 E 8TH ST,LB102,BPD,NO REPORT NEEDED
B16-15485,4/23/16,7:06 PM,April,Saturday,NOISE,600 E 1ST ST,LB302,BPD,NO REPORT NEEDED
B16-15520,4/23/16,11:10 PM,April,Saturday,NOISE,600 S PARK AVE; sw corner park univeristy,LB302,BPD,NO REPORT NEEDED
B16-15384,4/23/16,1:17 AM,April,Saturday,NOISE,612 N WALNUT ST,LB213,BPD,NO REPORT NEEDED
B16-15472,4/23/16,4:45 PM,April,Saturday,NOISE,700 S LINCOLN ST,LB301,BPD,NO REPORT NEEDED
B16-15498,4/23/16,8:45 PM,April,Saturday,NOISE,719 N WASHINGTON ST,LB213,BPD,NO REPORT NEEDED
B16-15511,4/23/16,10:08 PM,April,Saturday,NOISE,S HIGHLAND AVE & E ATWATER AVE,LB303,BPD,NO REPORT NEEDED
B16-15449,4/23/16,2:19 PM,April,Saturday,NOISE,S MADISON ST & W KIRKWOOD AVE,LB101,BPD,NO REPORT NEEDED
B16-15429,4/23/16,11:05 AM,April,Saturday,PANHANDLING,101 W KIRKWOOD AVE; FOUNTAIN SQUARE MALL,LB103,BPD,NO REPORT NEEDED
B16-15568,4/24/16,3:59 AM,April,Sunday,DISTURBANCE IP,1800 W MARQUIS DR,LB517,BPD,NO REPORT NEEDED
B16-15585,4/24/16,8:03 AM,April,Sunday,DISTURBANCE IP,2335 W VERNAL PIKE,LB516,BPD,NO REPORT NEEDED
B16-15589,4/24/16,10:05 AM,April,Sunday,DRUNK,223 S PETE ELLIS DR; SUITE 6,LB221,BPD,NO REPORT NEEDED
B16-15592,4/24/16,11:00 AM,April,Sunday,DRUNK,2498 S WALNUT ST; BURGER KING SOUTH,LB422,BPD,NO REPORT NEEDED
B16-15569,4/24/16,4:03 AM,April,Sunday,DRUNK,4405 E 3RD ST; BP     CIRCLE K,LB219,BPD,REPORT NEEDED
B16-15565,4/24/16,3:52 AM,April,Sunday,DRUNK,901 E GRIMES LN,LB313,BPD,NO REPORT NEEDED
B16-15572,4/24/16,4:05 AM,April,Sunday,NOISE,1114 S WOODLAWN AVE,LB313,BPD,NO REPORT NEEDED
B16-15551,4/24/16,1:47 AM,April,Sunday,NOISE,1114 S WOODLAWN AVE,LB313,BPD,NO REPORT NEEDED
B16-15546,4/24/16,1:35 AM,April,Sunday,NOISE,1602 S WILCOX ST,LB318,BPD,NO REPORT NEEDED
B16-15635,4/24/16,8:37 PM,April,Sunday,NOISE,1743 N WASHINGTON ST,LB212,BPD,NO REPORT NEEDED
B16-15562,4/24/16,3:10 AM,April,Sunday,NOISE,2036 N WALNUT ST; gym bldg,LB212,BPD,NO REPORT NEEDED
B16-15540,4/24/16,12:40 AM,April,Sunday,NOISE,2036 N WALNUT ST; its in the big red barn,LB212,BPD,NO REPORT NEEDED
B16-15557,4/24/16,2:06 AM,April,Sunday,NOISE,2500 S ROCKPORT RD; apt 104,LB424,BPD,NO REPORT NEEDED
B16-15638,4/24/16,8:59 PM,April,Sunday,NOISE,2614 S ROGERS ST,LB423,BPD,NO REPORT NEEDED
B16-15628,4/24/16,6:53 PM,April,Sunday,NOISE,3375 E JOHN HINKLE PL,LB221,BPD,NO REPORT NEEDED
B16-15548,4/24/16,12:57 AM,April,Sunday,NOISE,3400 S SARE RD; STEEPLE CHASE,LB331,BPD,NO REPORT NEEDED
B16-15534,4/24/16,12:27 AM,April,Sunday,NOISE,345 S COLLEGE AVE; apt 401,LB103,BPD,NO REPORT NEEDED
B16-15541,4/24/16,12:51 AM,April,Sunday,NOISE,3669 E LONGVIEW AVE,LB220,BPD,NO REPORT NEEDED
B16-15554,4/24/16,1:24 AM,April,Sunday,NOISE,407 N DUNN ST,LB102,BPD,NO REPORT NEEDED
B16-15531,4/24/16,12:11 AM,April,Sunday,NOISE,512 S MULLER PKWY; THE VILLAGE AT MULLER PARKWAY,LB404,BPD,NO REPORT NEEDED
B16-15563,4/24/16,2:58 AM,April,Sunday,NOISE,524 N COLLEGE AVE; APT 405,LB101,BPD,NO REPORT NEEDED
B16-15538,4/24/16,12:47 AM,April,Sunday,NOISE,602 N MORTON ST; 4th floor,LB519,BPD,NO REPORT NEEDED
B16-15552,4/24/16,1:48 AM,April,Sunday,NOISE,611 S PARK AVE,LB302,BPD,NO REPORT NEEDED
B16-15533,4/24/16,12:29 AM,April,Sunday,NOISE,6TH & B LINE,LB101,BPD,NO REPORT NEEDED
B16-15661,4/24/16,11:31 PM,April,Sunday,NOISE,716 S PARK AVE,LB302,BPD,NO REPORT NEEDED
B16-15655,4/24/16,11:33 PM,April,Sunday,NOISE,870 S WOODSCREST DR,LB311,BPD,NO REPORT NEEDED
B16-15556,4/24/16,1:03 AM,April,Sunday,NOISE,986 S COPPER BEECH WAY,LB415,BPD,NO REPORT NEEDED
B16-15564,4/24/16,2:56 AM,April,Sunday,NOISE,N WALNUT ST & E 6TH ST,LB101,BPD,NO REPORT NEEDED
B16-15536,4/24/16,12:39 AM,April,Sunday,NOISE,W 4TH ST & B-LINE TRAIL,LB103,BPD,NO REPORT NEEDED
B16-15530,4/24/16,12:08 AM,April,Sunday,VANDALISM IP,1600 N WILLIS DR; lot 117,LB513,BPD,NO REPORT NEEDED
B16-15606,4/24/16,12:32 PM,April,Sunday,VANDALISM NP,1600 N WILLIS DR; LT 241,LB513,BPD,NO REPORT NEEDED
B16-15542,4/24/16,1:20 AM,April,Sunday,VANDALISM NP,801 N OOLITIC DR,LB517,BPD,NO REPORT NEEDED
B16-15687,4/25/16,8:41 AM,April,Monday,ALCOHOL RELATED,110 S WASHINGTON ST,LB104,BPD,REPORT NEEDED
B16-15656,4/25/16,12:05 AM,April,Monday,DISTURBANCE IP,1212 N GRANT ST; NORTHVIEW APARTMENTS,LB213,BPD,NO REPORT NEEDED
B16-15733,4/25/16,4:36 PM,April,Monday,DISTURBANCE IP,1890 S WALNUT ST; APT 11,LB421,BPD,NO REPORT NEEDED
B16-15668,4/25/16,2:46 AM,April,Monday,DISTURBANCE IP,366 E VARSITY LN,LB212,BPD,NO REPORT NEEDED
B16-15698,4/25/16,10:57 AM,April,Monday,DISTURBANCE IP,405 W PATTERSON DR; SWEET GRASS RESTAURANT,LB412,BPD,NO REPORT NEEDED
B16-15678,4/25/16,8:23 AM,April,Monday,DISTURBANCE IP,408 E 6TH ST,LB102,BPD,NO REPORT NEEDED
B16-15671,4/25/16,4:49 AM,April,Monday,DRUNK,3733 W PARKVIEW DR,LB507,BPD,NO REPORT NEEDED
B16-15779,4/25/16,11:19 PM,April,Monday,NOISE,205 S CLARK ST,LB222,BPD,NO REPORT NEEDED
B16-15664,4/25/16,12:56 AM,April,Monday,NOISE,3100 S WALNUT STREET PIKE; UNDER APT A50,LB336,BPD,NO REPORT NEEDED
B16-15763,4/25/16,9:04 PM,April,Monday,NOISE,3328 S ACADIA CT,LB329,BPD,NO REPORT NEEDED
B16-15737,4/25/16,4:40 PM,April,Monday,NOISE,3506 S BURKS CT,LB336,BPD,NO REPORT NEEDED
B16-15667,4/25/16,1:47 AM,April,Monday,NOISE,602 N MORTON ST; THE VILLAGES AT 10TH & COLLEGE,LB519,BPD,NO REPORT NEEDED
B16-15775,4/25/16,10:19 PM,April,Monday,NOISE,S OLIVE ST & E THORNTON DR,LB316,BPD,NO REPORT NEEDED
B16-15666,4/25/16,1:33 AM,April,Monday,VANDALISM IP,1212 N GRANT ST; NORTHVIEW APARTMENTS; APT B1,LB213,BPD,REPORT NEEDED
B16-15754,4/25/16,7:17 PM,April,Monday,VANDALISM IP,BLT 43 MARKER GRIMES BRIDGE,LB411,BPD,NO REPORT NEEDED
B16-15783,4/26/16,12:10 AM,April,Tuesday,DISTURBANCE IP,105 N ROOSEVELT ST,LB222,BPD,NO REPORT NEEDED
B16-15798,4/26/16,3:12 AM,April,Tuesday,DISTURBANCE IP,1890 S WALNUT ST; APT 13,LB421,BPD,NO REPORT NEEDED
B16-15791,4/26/16,12:52 AM,April,Tuesday,DISTURBANCE IP,3281 S WALNUT SPRINGS DR,LB336,BPD,REPORT NEEDED
B16-15915,4/26/16,11:34 PM,April,Tuesday,DISTURBANCE IP,405 S WALNUT ST,LB104,BPD,NO REPORT NEEDED
B16-15886,4/26/16,6:05 PM,April,Tuesday,DISTURBANCE IP,617 W MARBLE LN; APT A,LB513,BPD,REPORT NEEDED
B16-15790,4/26/16,12:49 AM,April,Tuesday,DRUNK,3702 W 3RD ST; TACO BELL WEST,LB524,BPD,NO REPORT NEEDED
B16-15870,4/26/16,4:05 PM,April,Tuesday,PANHANDLING,114 E KIRKWOOD AVE; BUSKIRK CHUMLEY THEATRE,LB104,BPD,NO REPORT NEEDED
B16-15908,4/26/16,9:59 PM,April,Tuesday,PANHANDLING,430 E KIRKWOOD AVE; DUNKIRK BAR  UPSTAIRS PUB,LB104,BPD,NO REPORT NEEDED
B16-15819,4/26/16,9:29 AM,April,Tuesday,VANDALISM NP,564 S BASSWOOD DR; APT A,LB415,BPD,REPORT NEEDED
B16-15923,4/27/16,12:55 AM,April,Wednesday,DISTURBANCE IP,1670 W BLOOMFIELD RD,LB414,BPD,REPORT NEEDED
B16-16042,4/27/16,11:51 PM,April,Wednesday,DISTURBANCE IP,1890 S WALNUT ST; APT 14,LB421,BPD,REPORT NEEDED
B16-15943,4/27/16,8:36 AM,April,Wednesday,DISTURBANCE IP,3042 E AMY LN,LB221,BPD,REPORT NEEDED
B16-16001,4/27/16,5:35 PM,April,Wednesday,DISTURBANCE IP,520 S WALNUT ST; US POST OFFICE DOWNTOWN,LB410,BPD,NO REPORT NEEDED
B16-16021,4/27/16,8:23 PM,April,Wednesday,DISTURBANCE IP,550 S WALNUT ST; RALLYS,LB410,BPD,NO REPORT NEEDED
B16-15991,4/27/16,3:52 PM,April,Wednesday,DRUNK,219 E 4TH ST; FIRST UNITED METHODIST CHURCH,LB104,BPD,NO REPORT NEEDED
B16-15947,4/27/16,8:57 AM,April,Wednesday,DRUNK,S WALNUT ST & E WYLIE ST,LB410,BPD,NO REPORT NEEDED
B16-15934,4/27/16,3:36 AM,April,Wednesday,NOISE,2601 E DEKIST ST,LB222,BPD,NO REPORT NEEDED
B16-16032,4/27/16,10:02 PM,April,Wednesday,NOISE,2615 S ROCKPORT RD,LB423,BPD,NO REPORT NEEDED
B16-15940,4/27/16,6:16 AM,April,Wednesday,NOISE,406 E 6TH ST,LB102,BPD,NO REPORT NEEDED
B16-15938,4/27/16,6:03 AM,April,Wednesday,NOISE,417 N GRANT ST; APT 6,LB102,BPD,NO REPORT NEEDED
B16-16037,4/27/16,10:52 PM,April,Wednesday,NOISE,714 E 9TH ST,LB215,BPD,NO REPORT NEEDED
B16-16034,4/27/16,10:07 PM,April,Wednesday,NOISE,S OLIVE ST & E THORNTON DR,LB316,BPD,NO REPORT NEEDED
B16-15929,4/27/16,2:28 AM,April,Wednesday,VANDALISM NP,1005 N ROGERS ST,LB518,BPD,NO REPORT NEEDED
B16-16156,4/28/16,9:28 PM,April,Thursday,DISTURBANCE IP,108 E KIRKWOOD AVE; FARMBLOOMINGTON,LB104,BPD,NO REPORT NEEDED
B16-16153,4/28/16,9:20 PM,April,Thursday,DISTURBANCE IP,122 E MILLER DR; IRON PIT; IRON GYM,LB315,BPD,NO REPORT NEEDED
B16-16090,4/28/16,1:30 PM,April,Thursday,DISTURBANCE IP,620 S WALNUT ST; SHALOM CENTER,LB410,BPD,NO REPORT NEEDED
B16-16047,4/28/16,12:30 AM,April,Thursday,NOISE,1150 S CLARIZZ BLVD; apt T381,LB310,BPD,NO REPORT NEEDED
B16-16053,4/28/16,3:27 AM,April,Thursday,NOISE,1575 S IRA ST,LB318,BPD,NO REPORT NEEDED
B16-16165,4/28/16,9:55 PM,April,Thursday,NOISE,302 N CLARK ST,LB222,BPD,NO REPORT NEEDED
B16-16063,4/28/16,7:57 AM,April,Thursday,NOISE,3100 S WALNUT STREET PIKE; APT B 100,LB336,BPD,NO REPORT NEEDED
B16-16172,4/28/16,11:03 PM,April,Thursday,NOISE,321 N WASHINGTON ST,LB102,BPD,NO REPORT NEEDED
B16-16142,4/28/16,6:59 PM,April,Thursday,NOISE,N DUNN ST & E 8TH ST,LB102,BPD,NO REPORT NEEDED
B16-16093,4/28/16,1:21 PM,April,Thursday,PANHANDLING,520 S WALNUT ST; US POST OFFICE DOWNTOWN; us postal service,LB410,BPD,NO REPORT NEEDED
B16-16147,4/28/16,8:25 PM,April,Thursday,PANHANDLING,S DUNN ST & E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-16162,4/28/16,9:46 PM,April,Thursday,VANDALISM IP,1000 S MADISON ST,LB412,BPD,NO REPORT NEEDED
