Case Number,Date Reported,Time Reported,Month Reported,Day of Week,Call for Service Nature,Address of Occurrence,Reporting District,Agency,Report/No Report
B16-30151,8/4/16,8:19 PM,August,Thursday,DISTURBANCE IP,W 10TH ST & N ROGERS ST,LB519,BPD,REPORT NEEDED
B16-30117,8/4/16,4:09 PM,August,Thursday,DISTURBANCE IP,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,REPORT NEEDED
B16-30080,8/4/16,12:08 PM,August,Thursday,DISTURBANCE IP,400 E 2ND ST; APT 1,LB301,BPD,NO REPORT NEEDED
B16-30076,8/4/16,11:40 AM,August,Thursday,DISTURBANCE IP,3860 W 3RD ST,LB524,BPD,NO REPORT NEEDED
B16-30058,8/4/16,7:51 AM,August,Thursday,DISTURBANCE IP,1800 N WALNUT ST; MOTEL 6; RM 245,LB212,BPD,REPORT NEEDED
B16-29966,8/3/16,6:42 PM,August,Wednesday,DISTURBANCE IP,1306 N CRESCENT RD,LB517,BPD,NO REPORT NEEDED
B16-29937,8/3/16,5:01 PM,August,Wednesday,DISTURBANCE IP,1515 S ROGERS ST; COMMUNITY KITCHEN,LB420,BPD,NO REPORT NEEDED
B16-29930,8/3/16,4:24 PM,August,Wednesday,DISTURBANCE IP,218 S ROGERS ST,LB408,BPD,NO REPORT NEEDED
B16-29829,8/2/16,9:35 PM,August,Tuesday,DISTURBANCE IP,3480 W 3RD ST; SUBWAY WEST,LB524,BPD,NO REPORT NEEDED
B16-29693,8/2/16,1:01 AM,August,Tuesday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; A17,LB336,BPD,NO REPORT NEEDED
B16-29677,8/1/16,11:39 PM,August,Monday,DISTURBANCE IP,305 E WINSLOW RD; WINSLOW PLAZA,LB326,BPD,NO REPORT NEEDED
B16-29636,8/1/16,6:40 PM,August,Monday,DISTURBANCE IP,1488 N ARLINGTON PARK DR; APT 714,LB514,BPD,NO REPORT NEEDED
B16-29632,8/1/16,6:32 PM,August,Monday,DISTURBANCE IP,714 S FAIRVIEW ST; APT 4,LB409,BPD,NO REPORT NEEDED
B16-29623,8/1/16,5:51 PM,August,Monday,DISTURBANCE IP,919 S ROGERS ST; FRIENDS PLACE,LB412,BPD,NO REPORT NEEDED
B16-29585,8/1/16,2:28 PM,August,Monday,DISTURBANCE IP,3700 W 3RD ST; KFC WEST,LB524,BPD,NO REPORT NEEDED
B16-29540,8/1/16,8:05 AM,August,Monday,DISTURBANCE IP,3004 E AMY LN; APT G11,LB221,BPD,REPORT NEEDED
B16-29515,8/1/16,12:56 AM,August,Monday,DISTURBANCE IP,1722 N WALNUT ST; AMERICAS BEST VALUE INN,LB212,BPD,NO REPORT NEEDED
B16-29463,7/31/16,5:27 PM,July,Sunday,DISTURBANCE IP,1029 W 12TH ST,LB518,BPD,NO REPORT NEEDED
B16-29440,7/31/16,2:59 PM,July,Sunday,DISTURBANCE IP,CRESCENT & VERNAL PIKE,LB516,BPD,NO REPORT NEEDED
B16-29393,7/31/16,3:34 AM,July,Sunday,DISTURBANCE IP,S WASHINGTON ST & E SMITH AVE,LB104,BPD,NO REPORT NEEDED
B16-29385,7/31/16,1:29 AM,July,Sunday,DISTURBANCE IP,121 E KIRKWOOD AVE; CVS DOWNTOWN,LB102,BPD,NO REPORT NEEDED
B16-29377,7/30/16,11:59 PM,July,Saturday,DISTURBANCE IP,515 W 6TH ST,LB520,BPD,NO REPORT NEEDED
B16-29373,7/30/16,11:28 PM,July,Saturday,DISTURBANCE IP,3233 W JACOB DR; WHITE CASTLE,LB524,BPD,NO REPORT NEEDED
B16-29333,7/30/16,3:31 PM,July,Saturday,DISTURBANCE IP,656 N NORTH ST,LB516,BPD,NO REPORT NEEDED
B16-29307,7/30/16,11:59 AM,July,Saturday,DISTURBANCE IP,411 E 8TH ST; LEXINGTON HOUSE APARTMENTS,LB102,BPD,NO REPORT NEEDED
B16-29276,7/30/16,1:28 AM,July,Saturday,DISTURBANCE IP,2334 S WINSLOW CT,LB326,BPD,NO REPORT NEEDED
B16-29250,7/29/16,9:56 PM,July,Friday,DISTURBANCE IP,3100 S WALNUT STREET PIKE;A LOBBY,LB336,BPD,NO REPORT NEEDED
B16-29237,7/29/16,8:18 PM,July,Friday,DISTURBANCE IP,2605 S KENDALL DR,LB422,BPD,NO REPORT NEEDED
B16-29226,7/29/16,6:15 PM,July,Friday,DISTURBANCE IP,501 E KIRKWOOD AVE; PEOPLES PARK; 507 E KIRKWOOD,LB102,BPD,NO REPORT NEEDED
B16-29208,7/29/16,4:13 PM,July,Friday,DISTURBANCE IP,2500 S ROCKPORT RD; APT 1502,LB424,BPD,NO REPORT NEEDED
B16-29209,7/29/16,4:11 PM,July,Friday,DISTURBANCE IP,205 E 17TH ST,LB212,BPD,NO REPORT NEEDED
B16-29189,7/29/16,2:27 PM,July,Friday,DISTURBANCE IP,528 S WASHINGTON ST; DECKARD HOMES,LB301,BPD,NO REPORT NEEDED
B16-29176,7/29/16,12:58 PM,July,Friday,DISTURBANCE IP,1800 N WALNUT ST; MOTEL 6; RM 535,LB212,BPD,NO REPORT NEEDED
B16-29130,7/29/16,1:46 AM,July,Friday,DISTURBANCE IP,400 E 2ND ST; BELVIEW APARTMENTS; APT 7,LB301,BPD,NO REPORT NEEDED
B16-29127,7/29/16,12:45 AM,July,Friday,DISTURBANCE IP,1933 S CURRY PIKE; HIGHLAND LOUNGE,LB416,BPD,REPORT NEEDED
B16-29116,7/28/16,11:00 PM,July,Thursday,DISTURBANCE IP,120 W GRIMES LN; BLOOMINGTON TRANSIT ADMIN OFFICES,LB411,BPD,NO REPORT NEEDED
B16-28979,7/27/16,11:42 PM,July,Wednesday,DISTURBANCE IP,2482 S WINSLOW CT,LB326,BPD,NO REPORT NEEDED
B16-28933,7/27/16,6:39 PM,July,Wednesday,DISTURBANCE IP,1705 N KINSER PIKE; marathon,LB513,BPD,NO REPORT NEEDED
B16-28884,7/27/16,1:22 PM,July,Wednesday,DISTURBANCE IP,2160 N WALNUT ST; DENNYS,LB212,BPD,NO REPORT NEEDED
B16-28865,7/27/16,8:53 AM,July,Wednesday,DISTURBANCE IP,619 W HOWE ST,LB409,BPD,NO REPORT NEEDED
B16-28805,7/26/16,11:11 PM,July,Tuesday,DISTURBANCE IP,1500 W KIRKWOOD AVE,LB521,BPD,NO REPORT NEEDED
B16-28791,7/26/16,10:00 PM,July,Tuesday,DISTURBANCE IP,501 N COLLEGE AVE; SPRINGHILL SUITES ;RM 543,LB101,BPD,NO REPORT NEEDED
B16-28787,7/26/16,9:13 PM,July,Tuesday,DISTURBANCE IP,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,REPORT NEEDED
B16-28770,7/26/16,6:48 PM,July,Tuesday,DISTURBANCE IP,527 E 3RD ST; CIRCLE K 3RD AND INDIANA,LB104,BPD,NO REPORT NEEDED
B16-28761,7/26/16,5:42 PM,July,Tuesday,DISTURBANCE IP,121 E KIRKWOOD AVE; CVS DOWNTOWN,LB102,BPD,NO REPORT NEEDED
B16-28760,7/26/16,5:39 PM,July,Tuesday,DISTURBANCE IP,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,NO REPORT NEEDED
B16-28755,7/26/16,4:32 PM,July,Tuesday,DISTURBANCE IP,621 N MONROE ST,LB517,BPD,REPORT NEEDED
B16-28749,7/26/16,4:00 PM,July,Tuesday,DISTURBANCE IP,619 W HOWE ST,LB409,BPD,REPORT NEEDED
B16-28685,7/26/16,4:12 AM,July,Tuesday,DISTURBANCE IP,405 E 17TH ST; apt a7,LB212,BPD,NO REPORT NEEDED
B16-28674,7/26/16,1:15 AM,July,Tuesday,DISTURBANCE IP,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,NO REPORT NEEDED
B16-28639,7/25/16,9:52 PM,July,Monday,DISTURBANCE IP,301 W 2ND ST; NEW HOPE SHELTER,LB409,BPD,NO REPORT NEEDED
B16-28611,7/25/16,5:22 PM,July,Monday,DISTURBANCE IP,517 E KIRKWOOD AVE; VON LEE THEATRE,LB102,BPD,NO REPORT NEEDED
B16-28580,7/25/16,1:02 PM,July,Monday,DISTURBANCE IP,1616 S HENDERSON ST; REGENCY COURT APARTMENTS; APT 480,LB315,BPD,REPORT NEEDED
B16-28387,7/24/16,2:40 AM,July,Sunday,DISTURBANCE IP,1600 E HILLSIDE DR,LB317,BPD,NO REPORT NEEDED
B16-28297,7/23/16,1:51 PM,July,Saturday,DISTURBANCE IP,4423 W HEATHERWOOD LN,LB428,BPD,NO REPORT NEEDED
B16-28289,7/23/16,12:54 PM,July,Saturday,DISTURBANCE IP,3200 E LONGVIEW AVE;APT 50,LB221,BPD,NO REPORT NEEDED
B16-28287,7/23/16,12:28 PM,July,Saturday,DISTURBANCE IP,503 W KIRKWOOD AVE; CIRCLE K KIRKWOOD AND ROGERS; CIRCLE K,LB408,BPD,NO REPORT NEEDED
B16-28285,7/23/16,11:43 AM,July,Saturday,DISTURBANCE IP,344 S EUCLID AVE,LB409,BPD,NO REPORT NEEDED
B16-28273,7/23/16,10:23 AM,July,Saturday,DISTURBANCE IP,3221 S ACADIA CT,LB329,BPD,NO REPORT NEEDED
B16-28254,7/23/16,4:57 AM,July,Saturday,DISTURBANCE IP,2601 S WALNUT ST; MARATHON GAS STATION WINSLOW,LB328,BPD,NO REPORT NEEDED
B16-28247,7/23/16,3:43 AM,July,Saturday,DISTURBANCE IP,1315 W 13TH ST,LB517,BPD,NO REPORT NEEDED
B16-28216,7/22/16,11:49 PM,July,Friday,DISTURBANCE IP,2372 S WINSLOW CT; BUILDING 12,LB326,BPD,NO REPORT NEEDED
B16-28210,7/22/16,11:21 PM,July,Friday,DISTURBANCE IP,221 W 2ND ST; WENDYS SEMINARY SQUARE,LB410,BPD,NO REPORT NEEDED
B16-28179,7/22/16,8:27 PM,July,Friday,DISTURBANCE IP,S DUNN ST & E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-28123,7/22/16,12:15 PM,July,Friday,DISTURBANCE IP,3405 E LONGVIEW AVE,LB221,BPD,NO REPORT NEEDED
B16-28074,7/22/16,1:18 AM,July,Friday,DISTURBANCE IP,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,NO REPORT NEEDED
B16-28036,7/21/16,9:32 PM,July,Thursday,DISTURBANCE IP,802 E MILLER DR; WALNUT WOODS APARTMENTS,LB316,BPD,NO REPORT NEEDED
B16-28030,7/21/16,8:20 PM,July,Thursday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT B107,LB336,BPD,NO REPORT NEEDED
B16-27912,7/20/16,11:44 PM,July,Wednesday,DISTURBANCE IP,619 W HOWE ST,LB409,BPD,NO REPORT NEEDED
B16-27889,7/20/16,10:27 PM,July,Wednesday,DISTURBANCE IP,2304 S WINSLOW CT; HENDERSON COURT,LB326,BPD,NO REPORT NEEDED
B16-27887,7/20/16,10:22 PM,July,Wednesday,DISTURBANCE IP,619 W HOWE ST,LB409,BPD,NO REPORT NEEDED
B16-27844,7/20/16,4:54 PM,July,Wednesday,DISTURBANCE IP,645 S ROGERS ST; CENTERSTONE EAST 1,LB409,BPD,NO REPORT NEEDED
B16-27802,7/20/16,12:24 PM,July,Wednesday,DISTURBANCE IP,510 E GRAHAM PL; TIMBER RIDGE APARTMENTS,LB327,BPD,NO REPORT NEEDED
B16-27801,7/20/16,12:06 PM,July,Wednesday,DISTURBANCE IP,E ATWATER AVE & E 3RD ST,LB104,BPD,NO REPORT NEEDED
B16-27793,7/20/16,10:15 AM,July,Wednesday,DISTURBANCE IP,412 E 2ND ST; APT 3,LB301,BPD,NO REPORT NEEDED
B16-27792,7/20/16,9:58 AM,July,Wednesday,DISTURBANCE IP,3081 E AMY LN,LB221,BPD,NO REPORT NEEDED
B16-27706,7/19/16,8:07 PM,July,Tuesday,DISTURBANCE IP,430 E KIRKWOOD AVE; DUNKIRK SQUARE,LB104,BPD,NO REPORT NEEDED
B16-27641,7/19/16,12:07 PM,July,Tuesday,DISTURBANCE IP,301 S WALNUT ST; DOWNTOWN BUS TERMINAL,LB104,BPD,NO REPORT NEEDED
B16-27605,7/19/16,2:26 AM,July,Tuesday,DISTURBANCE IP,1115 S WALNUT ST; CIRCLE K GRIMES AND WALNUT,LB314,BPD,REPORT NEEDED
B16-27598,7/19/16,1:33 AM,July,Tuesday,DISTURBANCE IP,502 E KIRKWOOD AVE; KILROYS KIRKWOOD,LB104,BPD,REPORT NEEDED
B16-27581,7/18/16,11:13 PM,July,Monday,DISTURBANCE IP,101 W 2ND ST; SEMINARY PARK,LB410,BPD,NO REPORT NEEDED
B16-27561,7/18/16,8:38 PM,July,Monday,DISTURBANCE IP,1717 W GRAY ST,LB516,BPD,NO REPORT NEEDED
B16-27511,7/18/16,1:38 PM,July,Monday,DISTURBANCE IP,1305 W WOODHILL DR,LB413,BPD,REPORT NEEDED
B16-27462,7/18/16,4:07 AM,July,Monday,DISTURBANCE IP,1009 N ILLINOIS ST,LB517,BPD,NO REPORT NEEDED
B16-27444,7/17/16,11:56 PM,July,Sunday,DISTURBANCE IP,2339 S WINSLOW CT,LB326,BPD,NO REPORT NEEDED
B16-27363,7/17/16,11:15 AM,July,Sunday,DISTURBANCE IP,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,NO REPORT NEEDED
B16-27344,7/17/16,3:00 AM,July,Sunday,DISTURBANCE IP,430 E KIRKWOOD AVE; UPSTAIRS PUB,LB104,BPD,NO REPORT NEEDED
B16-27278,7/16/16,7:46 PM,July,Saturday,DISTURBANCE IP,2535 S BRYAN ST,LB422,BPD,NO REPORT NEEDED
B16-27268,7/16/16,6:12 PM,July,Saturday,DISTURBANCE IP,2500 S ROCKPORT RD; APT 2807,LB424,BPD,NO REPORT NEEDED
B16-27263,7/16/16,4:26 PM,July,Saturday,DISTURBANCE IP,823 N MAPLE ST; BLAIR HOUSE,LB518,BPD,REPORT NEEDED
B16-27259,7/16/16,3:59 PM,July,Saturday,DISTURBANCE IP,417 E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-27254,7/16/16,2:42 PM,July,Saturday,DISTURBANCE IP,2500 S ROCKPORT RD; APT 2807,LB424,BPD,NO REPORT NEEDED
B16-27141,7/15/16,9:02 PM,July,Friday,DISTURBANCE IP,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,NO REPORT NEEDED
B16-27098,7/15/16,4:02 PM,July,Friday,DISTURBANCE IP,645 S ROGERS ST; CENTERSTONE EAST 1,LB409,BPD,NO REPORT NEEDED
B16-27086,7/15/16,2:31 PM,July,Friday,DISTURBANCE IP,1111 N OOLITIC DR,LB517,BPD,NO REPORT NEEDED
B16-27051,7/15/16,11:01 AM,July,Friday,DISTURBANCE IP,1007 N SUMMIT ST; HOUSING AUTHORITY,LB517,BPD,REPORT NEEDED
B16-26940,7/14/16,8:20 PM,July,Thursday,DISTURBANCE IP,312 E 3RD ST,LB104,BPD,NO REPORT NEEDED
B16-26931,7/14/16,6:36 PM,July,Thursday,DISTURBANCE IP,101 W 2ND ST; SEMINARY PARK,LB410,BPD,NO REPORT NEEDED
B16-26907,7/14/16,3:57 PM,July,Thursday,DISTURBANCE IP,4001 W 3RD ST,LB402,BPD,NO REPORT NEEDED
B16-26892,7/14/16,3:04 PM,July,Thursday,DISTURBANCE IP,N MADISON ST & W 7TH ST,LB101,BPD,NO REPORT NEEDED
B16-26802,7/13/16,9:59 PM,July,Wednesday,DISTURBANCE IP,2414 S ROGERS ST,LB423,BPD,NO REPORT NEEDED
B16-26740,7/13/16,12:40 PM,July,Wednesday,DISTURBANCE IP,5130 S HARMONY RD,LMS04,BPD,NO REPORT NEEDED
B16-26679,7/13/16,12:01 AM,July,Wednesday,DISTURBANCE IP,619 W HOWE ST; BUILDING TRADES PARK,LB409,BPD,REPORT NEEDED
B16-26664,7/12/16,9:13 PM,July,Tuesday,DISTURBANCE IP,101 W 2ND ST; SEMINARY PARK,LB410,BPD,NO REPORT NEEDED
B16-26657,7/12/16,8:23 PM,July,Tuesday,DISTURBANCE IP,101 W 2ND ST; SEMINARY PARK,LB410,BPD,NO REPORT NEEDED
B16-26626,7/12/16,4:27 PM,July,Tuesday,DISTURBANCE IP,101 W 2ND ST; SEMINARY PARK,LB410,BPD,NO REPORT NEEDED
B16-26588,7/12/16,12:10 PM,July,Tuesday,DISTURBANCE IP,N MAPLE ST & W 6TH ST,LB520,BPD,REPORT NEEDED
B16-26530,7/12/16,1:59 AM,July,Tuesday,DISTURBANCE IP,3911 W MAYBURY MALL; APT B14,LB428,BPD,NO REPORT NEEDED
B16-26517,7/11/16,11:06 PM,July,Monday,DISTURBANCE IP,405 E KIRKWOOD AVE; CAFE PIZZARIA,LB102,BPD,NO REPORT NEEDED
B16-26391,7/11/16,12:21 AM,July,Monday,DISTURBANCE IP,502 E KIRKWOOD AVE; KILROYS KIRKWOOD,LB104,BPD,NO REPORT NEEDED
B16-26356,7/10/16,7:16 PM,July,Sunday,DISTURBANCE IP,1600 E HILLSIDE DR; APT 27,LB317,BPD,REPORT NEEDED
B16-26318,7/10/16,2:01 PM,July,Sunday,DISTURBANCE IP,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,NO REPORT NEEDED
B16-26305,7/10/16,10:31 AM,July,Sunday,DISTURBANCE IP,S PARKWAY DR & W BELLE AVE,LB402,BPD,NO REPORT NEEDED
B16-26294,7/10/16,5:44 AM,July,Sunday,DISTURBANCE IP,1722 N WALNUT ST; RM 433,LB212,BPD,REPORT NEEDED
B16-26288,7/10/16,3:38 AM,July,Sunday,DISTURBANCE IP,300 E KIRKWOOD AVE,LB104,BPD,NO REPORT NEEDED
B16-26280,7/10/16,1:34 AM,July,Sunday,DISTURBANCE IP,915 N ROGERS ST,LB518,BPD,NO REPORT NEEDED
B16-26276,7/10/16,12:54 AM,July,Sunday,DISTURBANCE IP,2875 E CAROWINDS CT,LMS02,BPD,NO REPORT NEEDED
B16-26244,7/9/16,9:27 PM,July,Saturday,DISTURBANCE IP,275 E WINSLOW RD; VILLAGE PANTRY SOUTH,LB327,BPD,NO REPORT NEEDED
B16-26171,7/9/16,4:27 AM,July,Saturday,DISTURBANCE IP,3138 S ACADIA CT,LB329,BPD,NO REPORT NEEDED
B16-26170,7/9/16,3:39 AM,July,Saturday,DISTURBANCE IP,211 N WALNUT ST; BTOWN DINER,LB101,BPD,NO REPORT NEEDED
B16-26169,7/9/16,3:34 AM,July,Saturday,DISTURBANCE IP,201 W 17TH ST; CIRCLE K 17TH AND COLLEGE,LB519,BPD,NO REPORT NEEDED
B16-26167,7/9/16,3:14 AM,July,Saturday,DISTURBANCE IP,N WALNUT ST & E 7TH ST,LB102,BPD,REPORT NEEDED
B16-26158,7/9/16,1:54 AM,July,Saturday,DISTURBANCE IP,3138 S ACADIA CT,LB329,BPD,NO REPORT NEEDED
B16-26146,7/9/16,12:49 AM,July,Saturday,DISTURBANCE IP,3160 E BRAESIDE DR,LB221,BPD,NO REPORT NEEDED
B16-26128,7/8/16,10:34 PM,July,Friday,DISTURBANCE IP,S WALNUT ST & E HILLSIDE DR,LB421,BPD,NO REPORT NEEDED
B16-26059,7/8/16,12:22 PM,July,Friday,DISTURBANCE IP,2966 E 3RD ST; TARGET,LB305,BPD,NO REPORT NEEDED
B16-26000,7/7/16,10:53 PM,July,Thursday,DISTURBANCE IP,2504 S ROGERS ST,LB423,BPD,REPORT NEEDED
B16-25967,7/7/16,5:44 PM,July,Thursday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT B159,LB336,BPD,NO REPORT NEEDED
B16-25921,7/7/16,10:58 AM,July,Thursday,DISTURBANCE IP,S WALNUT ST & E KIRKWOOD AVE,,BPD,NO REPORT NEEDED
B16-25827,7/6/16,4:44 PM,July,Wednesday,DISTURBANCE IP,701 S RANSOM LN,LB406,BPD,NO REPORT NEEDED
B16-25798,7/6/16,1:12 PM,July,Wednesday,DISTURBANCE IP,1600 N WILLIS DR; LOT 2,LB513,BPD,REPORT NEEDED
B16-25708,7/5/16,11:05 PM,July,Tuesday,DISTURBANCE IP,2510 E COVENANTER DR,LB311,BPD,NO REPORT NEEDED
B16-25697,7/5/16,10:06 PM,July,Tuesday,DISTURBANCE IP,1306 W 11TH ST,LB517,BPD,NO REPORT NEEDED
B16-25669,7/5/16,4:43 PM,July,Tuesday,DISTURBANCE IP,1205 S LINCOLN ST,LB314,BPD,NO REPORT NEEDED
B16-25630,7/5/16,12:27 PM,July,Tuesday,DISTURBANCE IP,120 S KINGSTON DR; APT D45,LB221,BPD,NO REPORT NEEDED
B16-25568,7/4/16,11:20 PM,July,Monday,DISTURBANCE IP,1329 N LISMORE DR,LB517,BPD,NO REPORT NEEDED
B16-25557,7/4/16,10:21 PM,July,Monday,DISTURBANCE IP,N COLLEGE AVE & W 8TH ST,LB101,BPD,NO REPORT NEEDED
B16-25540,7/4/16,8:09 PM,July,Monday,DISTURBANCE IP,1350 W BLOOMFIELD RD; BUFFALO WILD WINGS,LB406,BPD,NO REPORT NEEDED
B16-25484,7/4/16,1:10 PM,July,Monday,DISTURBANCE IP,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,NO REPORT NEEDED
B16-25471,7/4/16,9:41 AM,July,Monday,DISTURBANCE IP,2036 N WALNUT ST; apt a4,LB212,BPD,NO REPORT NEEDED
B16-25390,7/3/16,2:07 PM,July,Sunday,DISTURBANCE IP,815 N COLLEGE AVE,LB519,BPD,NO REPORT NEEDED
B16-25385,7/3/16,1:13 PM,July,Sunday,DISTURBANCE IP,111 S GRANT ST; TRINITY EPISCOPAL,LB104,BPD,REPORT NEEDED
B16-25375,7/3/16,4:07 AM,July,Sunday,DISTURBANCE IP,N DUNN ST & E 12TH ST,LB213,BPD,NO REPORT NEEDED
B16-25370,7/3/16,2:53 AM,July,Sunday,DISTURBANCE IP,2005 S ROGERS ST; LT 34,LB420,BPD,NO REPORT NEEDED
B16-25367,7/3/16,1:43 AM,July,Sunday,DISTURBANCE IP,S WASHINGTON ST & E KIRKWOOD AVE,LB104,BPD,NO REPORT NEEDED
B16-25343,7/2/16,10:47 PM,July,Saturday,DISTURBANCE IP,3345 S ACADIA CT,LB329,BPD,NO REPORT NEEDED
B16-25308,7/2/16,4:56 PM,July,Saturday,DISTURBANCE IP,4227 E HECTOR DR,LB218,BPD,NO REPORT NEEDED
B16-25251,7/2/16,8:13 AM,July,Saturday,DISTURBANCE IP,319 E 20TH ST; APT 10,LB212,BPD,NO REPORT NEEDED
B16-25212,7/1/16,11:21 PM,July,Friday,DISTURBANCE IP,1007 N ILLINOIS ST,LB517,BPD,NO REPORT NEEDED
B16-25187,7/1/16,8:20 PM,July,Friday,DISTURBANCE IP,528 S COLLEGE AVE; KROGER SEMINARY SQUARE,LB410,BPD,REPORT NEEDED
B16-25166,7/1/16,5:28 PM,July,Friday,DISTURBANCE IP,1800 N WALNUT ST; MOTEL 6,LB212,BPD,REPORT NEEDED
B16-25140,7/1/16,2:38 PM,July,Friday,DISTURBANCE IP,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,NO REPORT NEEDED
B16-25137,7/1/16,2:20 PM,July,Friday,DISTURBANCE IP,421 S COLLEGE AVE; PLANNED PARENTHOOD,LB103,BPD,NO REPORT NEEDED
B16-25060,7/1/16,12:08 AM,July,Friday,DISTURBANCE IP,E MILLER DR & S HENDERSON ST,LB316,BPD,NO REPORT NEEDED
B16-38427,9/25/16,1:19 AM,September,Sunday,DISTURBANCE NP,N LINCOLN ST & E 18TH ST,LB212,BPD,NO REPORT NEEDED
B16-37916,9/21/16,5:20 PM,September,Wednesday,DISTURBANCE NP,S HIGHLAND AVE & E MILLER DR,LB317,BPD,NO REPORT NEEDED
B16-37631,9/19/16,10:19 PM,September,Monday,DISTURBANCE NP,3100 S WALNUT STREET PIKE; APT B123,LB336,BPD,NO REPORT NEEDED
B16-37300,9/17/16,6:40 PM,September,Saturday,DISTURBANCE NP,3311 S ACADIA CT,LB329,BPD,REPORT NEEDED
B16-37006,9/16/16,1:01 AM,September,Friday,DISTURBANCE NP,214 W KIRKWOOD AVE; CRAZY HORSE FOOD AND DRINK EMPORIUM,LB101,BPD,NO REPORT NEEDED
B16-36929,9/15/16,12:57 PM,September,Thursday,DISTURBANCE NP,1013 N MONROE ST,LB517,BPD,NO REPORT NEEDED
B16-34706,8/31/16,7:58 PM,August,Wednesday,DISTURBANCE NP,S WALNUT ST & W DODDS ST,LB411,BPD,NO REPORT NEEDED
B16-34684,8/31/16,4:28 PM,August,Wednesday,DISTURBANCE NP,W TAPP RD & S LEONARD SPRINGS RD,LB427,BPD,REPORT NEEDED
B16-33222,8/22/16,7:09 PM,August,Monday,DISTURBANCE NP,200 E WINSLOW RD; LIFE DESIGNS; 220 E 3RD ST,LB328,BPD,NO REPORT NEEDED
B16-33040,8/21/16,2:38 PM,August,Sunday,DISTURBANCE NP,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,REPORT NEEDED
B16-30574,8/7/16,7:15 PM,August,Sunday,DISTURBANCE NP,620 W KIRKWOOD AVE; JUANNITAS,LB520,BPD,NO REPORT NEEDED
B16-29640,8/1/16,7:15 PM,August,Monday,DISTURBANCE NP,1488 N ARLINGTON PARK DR; APT 714,LB514,BPD,NO REPORT NEEDED
B16-28675,7/26/16,1:31 AM,July,Tuesday,DISTURBANCE NP,S WASHINGTON ST & E KIRKWOOD AVE,LB104,BPD,NO REPORT NEEDED
B16-26156,7/9/16,1:39 AM,July,Saturday,DISTURBANCE NP,3160 E BRAESIDE DR,LB221,BPD,NO REPORT NEEDED
B16-25659,7/5/16,3:53 PM,July,Tuesday,DISTURBANCE NP,1921 S LIBERTY DR,LB416,BPD,NO REPORT NEEDED
B16-25355,7/3/16,12:30 AM,July,Sunday,DISTURBANCE NP,502 E KIRKWOOD AVE; KILROYS KIRKWOOD,LB104,BPD,NO REPORT NEEDED
B16-39200,9/30/16,10:12 PM,September,Friday,DRUNK,338 S WASHINGTON ST; MIDDLE WAY HOUSE,LB104,BPD,REPORT NEEDED
B16-39179,9/30/16,7:16 PM,September,Friday,DRUNK,215 S WESTPLEX AVE; WHEELER MISSION MINISTRIES,LB521,BPD,NO REPORT NEEDED
B16-39095,9/30/16,4:57 AM,September,Friday,DRUNK,602 N MORTON ST,LB519,BPD,NO REPORT NEEDED
B16-39092,9/30/16,3:37 AM,September,Friday,DRUNK,1300 N WALNUT ST; APT 46,LB213,BPD,NO REPORT NEEDED
B16-39019,9/29/16,4:06 PM,September,Thursday,DRUNK,620 S WALNUT ST; SHALOM CENTER,LB410,BPD,NO REPORT NEEDED
B16-38947,9/29/16,12:08 AM,September,Thursday,DRUNK,216 N WALNUT ST; BLUE BIRD,LB102,BPD,NO REPORT NEEDED
B16-38946,9/28/16,11:58 PM,September,Wednesday,DRUNK,205 E 14TH ST,LB213,BPD,REPORT NEEDED
B16-38913,9/28/16,6:53 PM,September,Wednesday,DRUNK,619 W HOWE ST,LB409,BPD,
B16-38812,9/28/16,12:13 AM,September,Wednesday,DRUNK,406 E 6TH ST,LB102,BPD,NO REPORT NEEDED
B16-38712,9/27/16,6:52 AM,September,Tuesday,DRUNK,303 E KIRKWOOD AVE; MONROE COUNTY PUBLIC LIBRARY,LB102,BPD,NO REPORT NEEDED
B16-38701,9/27/16,2:53 AM,September,Tuesday,DRUNK,1001 S WALNUT ST,LB314,BPD,NO REPORT NEEDED
B16-38683,9/26/16,11:08 PM,September,Monday,DRUNK,1428 E 3RD ST; MOTHER BEARS PIZZA,LB303,BPD,NO REPORT NEEDED
